Tweets 
"b""Let's Honour the time of Jumu'ah and engage in acts of worship \n#ACJU #lka #corona https://t.co/bxntbuAGNr"""
b'These people are #Corona #virus of our country--  #komalsharma #anuragthakur #KapilMishra https://t.co/TFzStBSgx0'
b'Please cancel ram mela in UP @myogiadityanath amid #WuhanVirus threat or take the charges of attempt of murder.\xe2\x80\xa6 https://t.co/HDomCIqyOn'
b'@TheEllenShow calling her celebrity friends is my new favourite show \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8c #corona #SelfIsolation #TogetherApart #StaySafeStayHome'
"b""Protect from Corona Virus. Follow these do's and don'ts.\n#corona,#covid19,#coronavirus.#novelcorona. https://t.co/ic87Ym01HR"""
b'A major milestone !\n#Corona https://t.co/9TPlTzvF5L'
b'#IndiaFightsCorona\nPreventing COVID-19 at educational establishments\n#coronavirusindia \n#CoronaInMaharashtra\xe2\x80\xa6 https://t.co/4rvvuxnWLh'
b'There should be a complete lockdown in all states in India for at least 20days to control the spread of Coronavirus\xe2\x80\xa6 https://t.co/k7PPUikU56'
b'When Will #Corona End? Now You can know the  Answer from Astro Experts.#astrology  #AstrologyFacts\xe2\x80\xa6 https://t.co/o4DQ5Wxlyf'
b'#COVID2019india #COVID2019 #covidindia \n\nIndian government is planning to bring back thousands of indians from abro\xe2\x80\xa6 https://t.co/0CptBRMn2N'
"b""'Don't travel unless you really have to': London cuts Tube trains #coronavirus #COVID19 #COVID\xe3\x83\xbc19 #\xe3\x83\xa2\xe3\x83\xb3\xe3\x82\xb9\xe3\x83\x88\xe3\x83\x95\xe3\x82\xa7\xe3\x82\xa2\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\x86\xe3\x82\xa4\xe3\x83\xab\xe2\x80\xa6 https://t.co/fCbh1UrEAV"""
b'Some great ideas for non-screen learning here from our friends at Pobble. Check out their website for more fun non-\xe2\x80\xa6 https://t.co/MDTPN9lp0W'
b'\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3 Good News - #coronavirus pandemic : #China announces no new infection with the #Corona #virus locally for the fi\xe2\x80\xa6 https://t.co/ozzUkwFqxN'
b'@OfficeofUT  @PratapSarnaik poor management of Indian gov and @CMOMaharashtra  making #corona isolation center in r\xe2\x80\xa6 https://t.co/6I4Z9WXDXm'
b'#Corona / #COVID19: How Biogents is prepared. Message to our customers and partners. \n#Science4YourProtection\xe2\x80\xa6 https://t.co/E4K5qSgSs7'
"b'@IncKinju @imPnahar99 @narendramodi Putrid,Sadist culture &amp; pervert upbringing is evident vide his mafia gang of\xe2\x80\xa6 https://t.co/5Mth8PL6Lx'"
b'#IndiaFightsCorona\nTraders and commerce establishments against COVID-19\n#coronavirusindia \n#CoronaInMaharashtra\xe2\x80\xa6 https://t.co/W2wcLh9y8D'
b'Breaking News: Now #Europe has more #CoronaVirus confirmed cases than #chaina (where corona born)\n\nNo cure for this\xe2\x80\xa6 https://t.co/wnfaJM0tN2'
b'CDC is responding to a pandemic of respiratory disease spreading from person-to-person caused by a novel (new) coro\xe2\x80\xa6 https://t.co/M0SCdmFmXg'
b'Very good advice for all academic professionals! Thanks.\n\n#corona https://t.co/TWjkqTYmCD'
b'Changing times call for new habits. Give a Shaka instead \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbc#nomorehandshaking #shaka #clickyourheals #wavehi\xe2\x80\xa6 https://t.co/opAwsLJN2o'
b'#OVER #CORONA #VIRUS #INFECTION #CAUSATION:\n\nCHINESE SCIENTISTS FIND AN INTIMATE CONNECTION BETWEEN COVID-19 OR COR\xe2\x80\xa6 https://t.co/MqrFoJt14d'
